relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,is_violation
-171.47137632852895,12.0,520,44.0,2000.0,165.73,2000.0,0
-171.47137632852895,14.0,520,44.0,2000.0,165.73,2000.0,0
-171.47137632852895,16.0,520,44.0,2000.0,165.73,2000.0,0
-171.47137632852895,18.0,520,44.0,2000.0,165.73,2000.0,0
-171.47137632852895,20.0,520,44.0,2000.0,165.73,2000.0,0
-170.5675493756066,6.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,8.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,10.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,12.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,14.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,16.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,18.0,520,73.33,2000.0,154.0,2000.0,0
-170.5675493756066,20.0,520,73.33,2000.0,154.0,2000.0,0
-170.29558361860123,6.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,8.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,10.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,12.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,14.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,16.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,18.0,520,58.67,2000.0,159.87,2000.0,0
-170.29558361860123,20.0,520,58.67,2000.0,159.87,2000.0,0
-167.9082660264229,6.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,8.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,10.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,12.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,14.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,16.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,18.0,520,51.33,2000.0,159.87,2000.0,0
-167.9082660264229,20.0,520,51.33,2000.0,159.87,2000.0,0
-167.547008329006,6.0,520,66.0,2000.0,154.0,2000.0,0
