relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-86.54,8.2,1039,73.33,2500.0,159.87,4800.0,0
-86.54,8.95,1039,73.33,2500.0,159.87,4600.0,0
-86.54,9.7,1039,73.33,2500.0,159.87,4400.0,0
-86.54,10.45,1039,73.33,2500.0,159.87,4200.0,0
-86.54,11.2,1039,73.33,2500.0,159.87,4000.0,0
-86.54,11.95,1039,73.33,2500.0,159.87,4000.0,0
-86.54,12.7,1039,73.33,2500.0,159.87,4000.0,0
-86.54,13.45,1039,73.33,2500.0,159.87,4000.0,0
-86.54,14.2,1039,73.33,2500.0,159.87,4000.0,0
-80.67,8.2,1039,73.33,2500.0,154.0,4800.0,0
-80.67,8.95,1039,73.33,2500.0,154.0,4600.0,0
-80.67,9.7,1039,73.33,2500.0,154.0,4400.0,0
-80.67,10.45,1039,73.33,2500.0,154.0,4400.0,0
-80.67,11.2,1039,73.33,2500.0,154.0,4200.0,0
-80.67,11.95,1039,73.33,2500.0,154.0,4000.0,0
-80.67,12.7,1039,73.33,2500.0,154.0,4000.0,0
-80.67,13.45,1039,73.33,2500.0,154.0,4000.0,0
-80.67,14.2,1039,73.33,2500.0,154.0,4000.0,0
